Link,Title,Description,Original_title,news_id,Rating,Reviewers,Category,Tags,Img,Criteria,News_Source,Our_review_summary,Source_link,Why_this_matters,
https://www.healthnewsreview.org/review/abc-doesnt-oversell-early-research-on-blood-test-for-depression/,ABC News doesn’t oversell early research on blood test for depression,"However, parts of the story might confuse readers by suggesting a benefit to taking LAC for depression even though, as the story points out, there’s as yet no evidence that LAC can effectively treat depression.",Could a blood test lead to new treatments for depression?,story_reviews_00046,4,"['Mary Chris Jaklevic', 'Kathleen Fairfield, MD, DrPH', 'Joy Victory']",ABC News,['depression'],https://abcnews.go.com/Health/blood-test-lead-treatments-depression/story?id=56896507,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Applicable', 'explanation': 'Because of the early stage of this research, we’ll rate this N/A.\nBut it’s worth noting that a new test used in the diagnost",ABCNews.com,"This story reported a study that showed an amino acid called acetyl-L-carnitine (LAC) is lower in people with clinical depression, suggesting it might be used as a biomarker to guide treatment decisions.
We applaud the story’s generally cautious tone an","https://www.healthnewsreview.org/wp-content/uploads/2016/10/iStock_81485663_MEDIUM-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2016/10/iStock_81485663_MEDIUM-768x512.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/2","A biomarker could be a useful tool to develop treatments for depression or to target those at risk for early diagnosis and interventions. However, news stories have to maintain a cautious tone because identifying appropriate biomarkers and translating the",
https://www.healthnewsreview.org/review/but-it-comes-with-some-big-caveats-vox-is-clear-about-drawbacks-of-new-endometriosis-drug/,‘But it comes with some big caveats:’ Vox is clear about drawbacks of new endometriosis drug,One clinical trial detail we think should have been included: The measured benefits for both the drug group ,Women with endometriosis experience terrible pain. There’s finally a new treatment.,story_reviews_00047,4,"['Sharon Dunwoody, PhD', 'Doug Campos-Outcalt, MD, MPA', 'Joy Victory']",Vox,['endometriosis'],https://www.vox.com/2018/7/24/17608984/endometriosis-pain-symptoms-treatments-elagolix-orilissa,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The story does a good job of describing the monthly cost ($850) for women who do not have health insurance. The inference is that i",Vox,"The recent approval of a drug for the treatment of endometriosis pain is shared in this story in a way that satisfies many of our review site criteria.  The story is carefully written, with lots of detailed explanations of the drug’s potential benefits","https://www.healthnewsreview.org/wp-content/uploads/2016/07/iStock_17854778_SMALL-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2016/07/iStock_17854778_SMALL-768x512.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/201","Endometriosis, a condition in which tissue migrates from the uterus into the abdomen of women, is relatively common and can be debilitatingly painful. While there is no cure at present, efforts to control the pain include hormonal treatments and even surg",
https://www.healthnewsreview.org/review/healthday-provides-needed-details-on-side-effects-of-pot-derived-drug-studied-for-alzheimers-agitation/,HealthDay provides needed details on side effects of THC-based drug studied for Alzheimer’s agitation,"However, the story didn’t provide any supporting numbers for the touted benefits.",Could Pot-Linked Drug Help Ease Agitation in Alzheimer's?,story_reviews_00048,4,"['Michael Joyce, MD', 'Ishani Ganguli, MD, MPH', 'Joy Victory']",HealthDay,"[""alzheimer's disease"", 'dementia', 'marijuana']",https://consumer.healthday.com/cognitive-health-information-26/alzheimer-s-news-20/could-pot-linked-drug-help-ease-agitation-in-alzheimer-s-736075.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Satisfactory', 'explanation': 'The cost of nabilone is not mentioned.\nAccording to drugs.com:\nThe cost for Cesamet (nabilone) 1 mg capsules is around $2,054",Health Day,This story summarizes the findings of a small Canadian study investigating whether a synthetic form of THC (the psychoactive ingredient in marijuana) helps calm agitation in people with Alzheimer’s disease. It’s unpublished work that was presented thi,"https://www.healthnewsreview.org/wp-content/uploads/2018/07/GettyImages-673695060-300x203.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/07/GettyImages-673695060.jpg 719w","As lucidly communicated in this story, treating Alzheimer’s patients for agitation is a common challenge. Existing approaches aren’t very effective and can lead to significant side effects.
As this story makes clear new approaches, even when helpful, ",
https://www.healthnewsreview.org/review/its-way-too-soon-to-know-if-melanoma-blood-test-will-save-thousands-of-lives/,It’s way too soon to know if melanoma blood test will save ‘thousands of lives’,"Early on the CNN story makes a bold claim that the test could save thousands of lives, yet in many cases, early detection of cancer does not guarantee a longer, healthier life.","Experimental blood test could detect melanoma skin cancer early, study finds",story_reviews_00049,4,"['Harold J. DeMonaco, MS', 'Richard Hoffman, MD', 'Joy Victory']",CNN,['melanoma'],https://www.cnn.com/2018/07/17/health/melanoma-skin-cancer-blood-test-intl/index.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Satisfactory', 'explanation': 'This test, since it involves ten separate autoantibody antigens is likely to be expensive. \xa0A test to determine breast cance",CNN,"The story provides a review of early research examining an experimental blood test for the detection of melanoma.  The addition of the comments from an unaffiliated expert place the research into context and provide important caveats to the study.
But ea","https://www.healthnewsreview.org/wp-content/uploads/2016/05/iStock_000046237340_Small-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2016/05/iStock_000046237340_Small.jpg 849w","Melanoma is the most dangerous form of skin cancer. Early detection is essential for good clinical outcomes. A blood test to easily detect the disease would be a welcome addition especially in those areas with a high prevalence of the disorder. However, t",
https://www.healthnewsreview.org/review/wsj-offers-caution-early-and-often-in-coverage-of-latest-experimental-alzheimers-drug/,WSJ offers caution early and often in coverage of latest experimental Alzheimer’s drug,This article demonstrates it’s not only desireable but also possible to write objectively and temper expectations when writing for a business audience.,Drugmakers Call Experimental Alzheimer’s Drug Study Positive,story_reviews_00053,5,"['Mary Chris Jaklevic', 'Susan Molchan, MD, MA', 'Kathlyn Stone']",Alzheimer's,['BAN2401'],https://www.wsj.com/articles/drugmakers-call-experimental-alzheimers-drug-study-outcome-positive-1530897640,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The story frames the discussion in terms of income to the company, but doesn’t address the costs to patients or society. The stor",The Wall Street Journal,"This story covered the announcement of “positive” early results for an experimental Alzheimer’s drug called BAN2401, an antibody that attacks beta-amyloid clumps, and which appeared to trigger a surge in the stock prices of two companies developing ","https://www.healthnewsreview.org/wp-content/uploads/2018/03/Alzheimer-300x210.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/03/Alzheimer.jpg 400w","Business stories about unproven treatments must explain the news driving investors without creating false hopes for patients. That can be a tall order.
Alzheimer’s — which has no cure or treatment to stop its progression — is a particularly good exa",
https://www.healthnewsreview.org/review/stat-suggests-flu-drug-could-upend-treatment-but-theres-plenty-to-question-about-this-claim/,"STAT suggests flu drug could ‘upend treatment,’ but there’s plenty to question about this claim","But we laud the story for how well it covered how much the drug might cost, if approved.",A flu drug — shown to reduce the duration of symptoms — could upend treatment in U.S.,story_reviews_00055,4,"['Sue Rochman', 'Preeti N. Malani, MD, MSJ', 'Joy Victory']",STAT,['influenza'],https://www.statnews.com/2018/06/27/flu-drug-single-pill/,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The story makes clear the “big unknown” remains the price and “how much people are willing to spend to cut a day or so off of",STAT,This story’s headline makes a bold statement: “A flu drug—shown to reduce duration of symptoms—could upend treatment in U.S.” The next two paragraphs ramp up the excitement regarding the FDA’s announcement that it has granted priority review t,"https://www.healthnewsreview.org/wp-content/uploads/2016/09/iStock_63545303_SMALL-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2016/09/iStock_63545303_SMALL-768x512.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/201","As Genentech noted in its news release about the FDA granting priority review for its new drug, the flu is responsible for up to 650,000 deaths worldwide each year. It would be great if there was a drug that reduced deaths from the flu. Genentech has prov",
https://www.healthnewsreview.org/review/npr-deftly-summarizes-results-of-early-study-using-polio-vaccine-for-brain-cancer/,"NPR deftly summarizes results of early study using polio vaccine for brain cancer, except industry conflicts of interest",The only thing the story lacked was disclosing that seven of the researchers on the study reported financial interests in the company that holds the license for the treatment.,Doctors Try Genetically Modified Poliovirus As Experimental Brain Cancer Treatment,story_reviews_00056,4,"['Mary Chris Jaklevic', 'Elizabeth Russo, MD', 'Joy Victory']",NPR,['glioblastoma'],https://www.npr.org/sections/health-shots/2018/06/26/622610333/doctors-try-genetically-modified-poliovirus-as-experimental-brain-cancer-treatme,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Applicable', 'explanation': 'There’s no mention of how much this might cost, but we’ll rate this N/A since the story makes it clear that this is early res",NPR,"This is one of two stories we reviewed about an early-phase trial of the use of a modified poliovirus for glioblastoma, a fatal brain cancer. The other review covers an NBC News story. Results of the study were published in the New England Journal of Medi","https://www.healthnewsreview.org/wp-content/uploads/2012/07/brain-MRI-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2012/07/brain-MRI.jpg 400w","Stories about experimental treatments for fatal conditions such as glioblastoma serve the public when they exercise discretion and avoid raising false hopes.
Journalists should also strive to give some perspective on the breadth of ongoing research. Notab",
https://www.healthnewsreview.org/review/highly-atypical-patient-anecdote-throws-off-mostly-well-reported-nbc-news-story-on-experimental-brain-cancer-treatment/,Atypical patient anecdote throws off well-reported NBC News story on experimental brain cancer treatment,The story delves into the harms of the treatment and refrains from disease-mongering.,Modified polio vaccine helps fight deadly brain tumors,story_reviews_00057,4,"['Mary Chris Jaklevic', 'Elizabeth Russo, MD', 'Joy Victory']",NBC News,['glioblastoma'],https://www.nbcnews.com/health/health-news/modified-polio-vaccine-helps-fight-deadly-brain-tumors-n886486,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Applicable', 'explanation': 'There’s no mention of how much this might cost, but we’ll rate this N/A since the story makes it clear that this concept stil",NBCNews.com,"This is one of two stories we reviewed that cover results of a phase 1 trial to study the use of a modified poliovirus to fight glioblastoma, a fatal brain cancer. The results of the study were published in the New England Journal of Medicine. The story d","https://www.healthnewsreview.org/wp-content/uploads/2017/01/GettyImages-472135395-225x300.jpg 225w, https://www.healthnewsreview.org/wp-content/uploads/2017/01/GettyImages-472135395.jpg 512w","Stories about experimental treatments for fatal conditions such as glioblastoma should shy away from cause-and-effect framing and overly positive anecdotes in order to avoid raising false hopes.
You can hear a podcast that describes the emotional pain tha",
https://www.healthnewsreview.org/review/small-diabetes-vaccine-study-stat-provides-lots-of-useful-numbers-for-readers/,Small ‘diabetes vaccine’ study: STAT provides lots of useful numbers for readers,But it could have gone further sourcing the story and exploring the ‘controversial’ claim made by the headline.,Controversial researcher’s diabetes vaccine causes improvement in small study,story_reviews_00059,4,"['Kim Walsh-Childers, PhD', 'Ishani Ganguli, MD, MPH', 'Joy Victory']",STAT,['type 1 diabetes'],https://www.statnews.com/2018/06/21/type-1-diabetes-vaccine-denise-faustman/,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'The story notes that the BCG vaccine costs less than $1 per dose, though it remains to be seen if the cost will remain the same if ",STAT,"This story from STAT met most of our criteria in describing the results of a study that examined how two doses of the generic bacillus Calmette Guérin (BCG) vaccine, used for nearly a century against tuberculosis, affected blood sugar levels Type 1 diabe","https://www.healthnewsreview.org/wp-content/uploads/2017/08/GettyImages-822417776-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2017/08/GettyImages-822417776-768x513.jpg 768w, https://www.healthnewsreview.org/wp-content/uploads/201","According to the American Diabetes Association, about 1.25 million Americans have Type 1 diabetes, an autoimmune disease in which the pancreas stops producing insulin. Scientists do not know what causes Type 1 diabetes, and management of the disease requi",
https://www.healthnewsreview.org/review/buzzfeed-warns-readers-a-lot-more-work-to-be-done-to-find-out-if-experimental-blood-test-can-predict-preterm-birth/,BuzzFeed warns readers ‘a lot more work to be done’ to find out if experimental blood test can predict preterm birth,"The story would have benefited from an outside expert weighing on the study and its potential ramifications and — more importantly — the potential harms of a false-positive test, which are not insignificant.",This Blood Test Could Help Predict If A Pregnancy Is At Risk For Premature Labor,story_reviews_00063,4,"['Dave Mosher', 'Karen Carlson, MD', 'Joy Victory']",BuzzFeed,"['Pregnancy', 'premature babies']",https://www.buzzfeed.com/theresatamkins/pregnancy-blood-test-premature-preterm-labor?utm_term=.ohZW7qKl6#.qjjbg23Kj,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Satisfactory', 'explanation': 'Experimental\xa0health\xa0tests\xa0don’t\xa0have public price tags. However,\xa0this\xa0story\xa0gives\xa0readers\xa0a rare and h",BuzzFeed,"This BuzzFeed News story reports on early-stage research into an experimental blood test that aims to predict whether or not a pregnancy is at risk for premature birth. To determine that risk, the test looks for specific pieces of RNA generated by the bab","https://www.healthnewsreview.org/wp-content/uploads/2016/04/iStock_000060942786_Medium-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2016/04/iStock_000060942786_Medium-1024x682.jpg 1024w","According to the CDC, preterm birth affects about one in every 10 infants born in the US. Significant advances to lower preterm birth rates are certainly newsworthy–but this is an idea that’s been tested and failed before (see novelty, below) and read",
https://www.healthnewsreview.org/review/deep-brain-stimulation-diabetes/,LA Times provides careful take on early brain/diabetes research–except for the headline,The headline undermines the overall message of the story with phrasing suggesting a new treatment option: “may offer treatment”,"Deep brain stimulation may offer treatment for type 2 diabetes, study suggests",story_reviews_00067,4,"['Jill U. Adams', 'Elizabeth Russo, MD', 'Kevin Lomangino']",Los Angeles Times,"['deep brain stimulation', 'diabetes']",http://www.latimes.com/science/sciencenow/la-sci-sn-brain-stimulation-diabetes-20180526-story.html,"[{'question': 'Does the story adequately discuss the costs of the intervention?', 'answer': 'Not Satisfactory', 'explanation': 'Even though deep brain stimulation (DBS) is not close to being recommended for diabetes, it is a current therapy for Parkinson�",Los Angeles Times,"
This Los Angeles Times story reports on a study with some tantalizing new information about connections between the brain and the body’s metabolism. The research is novel, very preliminary, and more about introducing a new avenue of study for researche","https://www.healthnewsreview.org/wp-content/uploads/2018/05/GettyImages-527548482-300x200.jpg 300w, https://www.healthnewsreview.org/wp-content/uploads/2018/05/GettyImages-527548482.jpg 724w","Type 2 diabetes is a chronic metabolic disease that affects 1 in 10 Americans and continues to increase. The disease is the leading cause of kidney failure, limb amputation, and blindness and the seventh leading cause of death in the US. We know many of t",
